"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00123076","3.0","ERS1696838","MGYS00001736","metagenomic",,"ERR1951254",
"MGYA00087208","3.0","ERS1458915","MGYS00001336","metagenomic",,"ERR1743323",
"MGYA00069162","3.0","ERS1261404","MGYS00001179","metagenomic",,"ERR1544445",
"MGYA00099975","3.0","ERS1546685","MGYS00001504","metagenomic",,"ERR1824222",
"MGYA00087186","3.0","ERS1458900","MGYS00001336","metagenomic",,"ERR1743308",
"MGYA00087123","3.0","ERS1458887","MGYS00001336","metagenomic",,"ERR1743295",
"MGYA00087206","3.0","ERS1458947","MGYS00001336","metagenomic",,"ERR1743355",
"MGYA00085380","3.0","ERS1443838","MGYS00001105","metagenomic",,"ERR1726987",
"MGYA00087199","3.0","ERS1458941","MGYS00001336","metagenomic",,"ERR1743349",
"MGYA00105092","3.0","ERS956539","MGYS00001622","metagenomic",,"ERR1121555",
"MGYA00069114","3.0","ERS1245398","MGYS00001177","metagenomic",,"ERR1527273",
"MGYA00087107","3.0","ERS1458883","MGYS00001336","metagenomic",,"ERR1743291",
"MGYA00087115","3.0","ERS1458869","MGYS00001336","metagenomic",,"ERR1743277",
"MGYA00069080","3.0","ERS1245396","MGYS00001177","metagenomic",,"ERR1527263",
"MGYA00069153","3.0","ERS1261402","MGYS00001179","metagenomic",,"ERR1544443",
"MGYA00087135","3.0","ERS1458867","MGYS00001336","metagenomic",,"ERR1743275",
"MGYA00087198","3.0","ERS1458902","MGYS00001336","metagenomic",,"ERR1743310",
"MGYA00112305","3.0","ERS1222676","MGYS00001690","metagenomic",,"ERR1474563",
"MGYA00087171","3.0","ERS1458930","MGYS00001336","metagenomic",,"ERR1743338",
"MGYA00069108","3.0","ERS1245391","MGYS00001177","metagenomic",,"ERR1527243",
"MGYA00087111","3.0","ERS1458985","MGYS00001336","metagenomic",,"ERR1743393",
"MGYA00112304","3.0","ERS1222675","MGYS00001690","metagenomic",,"ERR1474562",
"MGYA00069115","3.0","ERS1245392","MGYS00001177","metagenomic",,"ERR1527248",
"MGYA00069117","3.0","ERS1245400","MGYS00001177","metagenomic",,"ERR1527282",
"MGYA00087187","3.0","ERS1458969","MGYS00001336","metagenomic",,"ERR1743377",
"MGYA00069104","3.0","ERS1245393","MGYS00001177","metagenomic",,"ERR1527252",
"MGYA00087168","3.0","ERS1458909","MGYS00001336","metagenomic",,"ERR1743317",
"MGYA00100723","3.0","ERS1276020","MGYS00001520","metagenomic",,"ERR1554593",
"MGYA00087151","3.0","ERS1458912","MGYS00001336","metagenomic",,"ERR1743320",
"MGYA00069072","3.0","ERS1245394","MGYS00001177","metagenomic",,"ERR1527256",
