"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00074729","3.0","ERS970370","MGYS00001225","metagenomic",,"ERR1135394",
"MGYA00074726","3.0","ERS970448","MGYS00001225","metagenomic",,"ERR1135472",
"MGYA00133747","3.0","ERS1847600","MGYS00001912","metagenomic",,"ERR2059947",
"MGYA00128597","3.0","ERS723670","MGYS00001796","metagenomic",,"ERR878296",
"MGYA00074665","3.0","ERS970411","MGYS00001225","metagenomic",,"ERR1135435",
"MGYA00074477","3.0","ERS970343","MGYS00001225","metagenomic",,"ERR1135367",
"MGYA00128312","3.0","ERS743141","MGYS00001787","metagenomic",,"ERR906511",
"MGYA00074282","3.0","ERS970428","MGYS00001225","metagenomic",,"ERR1135452",
"MGYA00074489","3.0","ERS970233","MGYS00001225","metagenomic",,"ERR1135257",
"MGYA00131992","3.0","ERS1792351","MGYS00001857","metagenomic",,"ERR2011066",
"MGYA00070265","3.0","ERS606432","MGYS00001193","metagenomic",,"ERR675648",
"MGYA00070262","3.0","ERS606342","MGYS00001193","metagenomic",,"ERR675552",
"MGYA00074296","3.0","ERS970156","MGYS00001225","metagenomic",,"ERR1135180",
"MGYA00128377","3.0","ERS743194","MGYS00001787","metagenomic",,"ERR906564",
"MGYA00074292","3.0","ERS970432","MGYS00001225","metagenomic",,"ERR1135456",
"MGYA00128359","3.0","ERS743135","MGYS00001787","metagenomic",,"ERR906505",
"MGYA00074673","3.0","ERS970374","MGYS00001225","metagenomic",,"ERR1135693",
"MGYA00128330","3.0","ERS743123","MGYS00001787","metagenomic",,"ERR906493",
"MGYA00128360","3.0","ERS743118","MGYS00001787","metagenomic",,"ERR906488",
"MGYA00074629","3.0","ERS970433","MGYS00001225","metagenomic",,"ERR1135457",
"MGYA00128318","3.0","ERS743199","MGYS00001787","metagenomic",,"ERR906569",
"MGYA00074273","3.0","ERS970430","MGYS00001225","metagenomic",,"ERR1135454",
"MGYA00128284","3.0","ERS765168","MGYS00001786","metagenomic",,"ERR1308125",
"MGYA00128253","3.0","ERS765152","MGYS00001786","metagenomic",,"ERR1308109",
"MGYA00074747","3.0","ERS970434","MGYS00001225","metagenomic",,"ERR1135753",
"MGYA00074358","3.0","ERS970372","MGYS00001225","metagenomic",,"ERR1135691",
